CI_Catelogies,AIM_ID
Code128,]C0
Code128SubsetA,]C1
Code128SubsetB,]C2
Code128SubsetC,]C3
Code2of5Standard,]S0
Code2of5Matrix,]S0
Code2of5DataLogic,]R0
Code2of5IATA,]R1
Code2of5Industrial,]R0
Code2of5Interleaved,]I0
EAN128,]C1
GS1_128,]C1
EAN128_CK,]C1
GS1_128_CK,]C1
UPCA,]E0
UPCA_AddOn2,]E3
UPCA_AddOn5,]E3
UPCA_AddOn8,]E0
UPCA_Coupon,]E0
UPCE,]E0
UPCE_AddOn2,]E3
UPCE_AddOn5,]E3
UPCE_AddOn8,]E0
EAN8,]E4
EAN8_AddOn2,]E4
EAN8_AddOn5,]E4
EAN8_AddOn8,]E4
EAN13,]E0
EAN13_AddOn2,]E3
EAN13_AddOn5,]E3
EAN13_AddOn8,]E0
ISBN13,]E0
ISBN13_AddOn5,]E3
ISSN,]E0
ISSN_AddOn2,]E3
Code39,]A0
Code32,]A1
Code39_FullASCII,]A4
Code39_CIP,]A1
Code39_TriOptic,]XA
Code93,]G0
Code93_FullASCII,]G0
Code11,]H0
Code11_CK1,]H0
Code11_CK2,]H1
MSI,]M0
MSI_CK1,]M0
MSI_CK2,]M0
Codabar,]F0
ABCCodabar,]F1
QRCode,]Q1
QRCode_GS1,]Q3
Datamatrix,]d1
Datamatrix_GS1,]d2
Code128_Industrial,]C2
ISBT_Pair ,]C4
ISBT128,]C0
I2OF5,]I0
