Configuration Item,CI_TagName,CI_TagUserName,CI_TagDescription,CI_ValueSizeBytes,CI_ValueOptions,CI_ValueOptions,CI_InternalNotes,CI_UserVisibility,CI_ReadOnly,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_AladdinMenuPathsAndCategories
GBEN,CI_GTIN_ENABLE,GTIN Formatting,"Enables/Disables the ability to convert UPC-E, UPC-A, EAN-8, and EAN-13 labels into the GTIN 14-character format.",1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,"If add-on information is present on the base label prior to the conversion taking place, the addon information will be appended to the converted GTIN label.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,GTIN
UNDA,CI_UPCEAN_DIGIT_AGGRESSIVENESS,EAN/UPC Aggressiveness,Specifies the tolerance of the digit classification algorithm for EAN/UPC.,1,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",,A high value of aggressiveness makes the algorithm more tolerant and able to classify distorted codes. A low value of aggressiveness makes the algorithm safer and reduces the risk of misread.,PUBLIC_PRG,false,0x03,0x03,,,,,,,0x01,,,,,UPCEAN
UNLO,CI_UPCEAN_QUIET_ZONE,EAN/UPC Quiet Zones,Specifies the number of quiet zones for EAN/UPC,1,"[format=selection]
0x01=One Module
0x02=Two Modules
0x03=Three Modules
0x04=Four Modules
0x05=Five Modules
0x06=Six Modules
0x07=Seven Modules
0x08=Eight Modules",,The property apply to all EAN-UPC symbologies globally and to the ADDONs.,PUBLIC_PRG,false,0x05,0x05,,,,,,,,,,,,UPCEAN
ABEN,CI_UPCA_ENABLE,UPC-A Enable/Disable,Enables/Disables ability to decode UPC-A labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,UPCA
3BEN,CI_EAN13_ENABLE,EAN-13 Enable/Disable,Enables/Disables ability to decode EAN/JAN13 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,EAN13
8BEN,CI_EAN8_ENABLE,EAN-8 Enable/Disable,Enables/Disables ability to decode EAN/JAN8 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,EAN8
EBEN,CI_UPCE_ENABLE,UPC-E Enable/Disable,Enables/Disables ability to decode UPC-E labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,UPCE
3B2D,CI_UCC_EAN13_2D_COMPONENT_ENABLE,EAN-13 2D Component,Controls requirement that a 2D label component be decoded when an EAN-13 base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,UCC
8B2D,CI_UCC_EAN8_2D_COMPONENT_ENABLE,EAN-8 2D Component,Controls requirement that a 2D label component be decoded when an EAN-8 base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,UCC
AB2D,CI_UCC_UPCA_2D_COMPONENT_ENABLE,UPC-A 2D Component,Controls requirement that a 2D label component be decoded when an UPC-A base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,UCC
