Name, CI_Master_Default_Bologna,CI_Master_Default_Eugene,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,Observed,Result
ETTE,0D00000000000000000000000000000000000000,0D00000000000000000000000000000000000000,,,,,,,,,,,,,$%,FAILED
DDTI,60,60,,,,,,,,,,,,,$>3C,FAILED
PWRD,00,00,,,,,,,,,,,,,$>00,PASSED
DDTH,625,625,,,,,,,,,,,,,$>0271,FAILED
BBFT,02,02,,,,,,,,,,,,,$>02,PASSED
ETDD,00,00,,,,,,,,,,,,,$%,FAILED
ETLP,52000,52000,,,,,,,,,,,,,$%,FAILED
ETAI,00,00,,,,,,,,,,,,,$%,FAILED
ULPE,01,01,,,,,,,,,,,,,$>01,PASSED
SNLS,01,01,,,,,,,,,,,,,$>01,PASSED
SNHS,01,01,,,,,,,,,,,,,$>01,PASSED
SNHD,00,00,,,,,,,,,,,,,$>00,PASSED
SNBL,01,01,,,,,,,,,,,,,$>01,PASSED
SNBL,,,,,,,,,,,,,,,$>01,FAILED
SITF,47,47,,,,,,,,,,,,,$>47,PASSED
RFTA,01,01,,,,,,,,,,,,,$>01,PASSED
RFPP,00,00,,,,,,,,,,,,,$>00,PASSED
RFEA,01,01,,,,,,,,,,,,,$>01,PASSED
RFDA,00,00,,,,,,,,,,,,,$>00,PASSED
RFCA,00,00,,,,,,,,,,,,,$>00,PASSED
PWE2,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,,,,,,,$>00000000000000000000000000000000,PASSED
PWE1,00,00,,,,,,,,,,,,,$>00000000000000000000000000000000,FAILED
KF51,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF41,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF31,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF23,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF22,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF21,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF13,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF12,0000,0000,,,,,,,,,,,,,$>00,FAILED
KF11,0000,0000,,,,,,,,,,,,,$>00,FAILED
GSAL,00,00,,,,,,,,,,,,,$>00,PASSED
FAMC,,,,,,,,,,,,,,,$>3030303031,FAILED
DTTW,C8,C8,,,,,,,,,,,,,$>C8,PASSED
DTTL,04,04,,,,,,,,,,,,,$>04,PASSED
DTTH,50,50,,,,,,,,,,,,,$>50,PASSED
DTLA,64,64,,,,,,,,,,,,,$>64,PASSED
DLDE,01,01,,,,,,,,,,,,,$>01,PASSED
BTWF,00000000000000000000,00000000000000000000,,,,,,,,,,,,,$%,FAILED
BTSL,01,01,,,,,,,,,,,,,$%,FAILED
BTSF,00,00,,,,,,,,,,,,,$%,FAILED
BTLD,00,00,,,,,,,,,,,,,$%,FAILED
BTDT,02,02,,,,,,,,,,,,,$%,FAILED
BTCR,00,00,,,,,,,,,,,,,$%,FAILED
BTAC,00,00,,,,,,,,,,,,,$%,FAILED
BSPD,00,00,,,,,,,,,,,,,$%,FAILED
BPCE,01,01,,,,,,,,,,,,,$>01,PASSED
BLAR,01,01,,,,,,,,,,,,,$>01,PASSED
BCHP,00,00,,,,,,,,,,,,,$>00,PASSED
BALM,32,32,,,,,,,,,,,,,$>32,PASSED
DLSF,,,,,,,,,,,,,,,$%,PASSED
DLFF,,,,,,,,,,,,,,,$%,PASSED
DLDF,,,,,,,,,,,,,,,$%,PASSED
DLFS,,,,,,,,,,,,,,,$%,PASSED
DLEN,,,,,,,,,,,,,,,$%,PASSED
T4SF,,,,,,,,,,,,,,,$%,PASSED
T4TO,,,,,,,,,,,,,,,$%,PASSED
T4A2,,,,,,,,,,,,,,,$%,PASSED
T4A1,,,,,,,,,,,,,,,$%,PASSED
T45R,,,,,,,,,,,,,,,$%,PASSED
T45T,,,,,,,,,,,,,,,$%,PASSED
T45S,,,,,,,,,,,,,,,$%,PASSED
T45L,,,,,,,,,,,,,,,$%,PASSED
T45C,,,,,,,,,,,,,,,$%,PASSED
T44R,,,,,,,,,,,,,,,$%,PASSED
T44T,,,,,,,,,,,,,,,$%,PASSED
T44S,,,,,,,,,,,,,,,$%,PASSED
T44L,,,,,,,,,,,,,,,$%,PASSED
T44C,,,,,,,,,,,,,,,$%,PASSED
T43R,,,,,,,,,,,,,,,$%,PASSED
T43T,,,,,,,,,,,,,,,$%,PASSED
T43S,,,,,,,,,,,,,,,$%,PASSED
T43L,,,,,,,,,,,,,,,$%,PASSED
T43C,,,,,,,,,,,,,,,$%,PASSED
T42R,,,,,,,,,,,,,,,$%,PASSED
T42T,,,,,,,,,,,,,,,$%,PASSED
T42S,,,,,,,,,,,,,,,$%,PASSED
T42L,,,,,,,,,,,,,,,$%,PASSED
T42C,,,,,,,,,,,,,,,$%,PASSED
T41R,,,,,,,,,,,,,,,$%,PASSED
T41T,,,,,,,,,,,,,,,$%,PASSED
T41S,,,,,,,,,,,,,,,$%,PASSED
T41L,,,,,,,,,,,,,,,$%,PASSED
T41C,,,,,,,,,,,,,,,$%,PASSED
T4RR,,,,,,,,,,,,,,,$%,PASSED
T4RF,,,,,,,,,,,,,,,$%,PASSED
T4RE,,,,,,,,,,,,,,,$%,PASSED
T4AN,,,,,,,,,,,,,,,$%,PASSED
T4AT,,,,,,,,,,,,,,,$%,PASSED
T4AC,,,,,,,,,,,,,,,$%,PASSED
T4AE,,,,,,,,,,,,,,,$%,PASSED
T4MP,,,,,,,,,,,,,,,$%,PASSED
T4MC,,,,,,,,,,,,,,,$%,PASSED
T4ML,,,,,,,,,,,,,,,$%,PASSED
T4MT,,,,,,,,,,,,,,,$%,PASSED
T4EN,,,,,,,,,,,,,,,$%,PASSED
T3SF,,,,,,,,,,,,,,,$%,PASSED
T3TO,,,,,,,,,,,,,,,$%,PASSED
T3A2,,,,,,,,,,,,,,,$%,PASSED
T3A1,,,,,,,,,,,,,,,$%,PASSED
T35R,,,,,,,,,,,,,,,$%,PASSED
T35T,,,,,,,,,,,,,,,$%,PASSED
T35S,,,,,,,,,,,,,,,$%,PASSED
T35L,,,,,,,,,,,,,,,$%,PASSED
T35C,,,,,,,,,,,,,,,$%,PASSED
T34R,,,,,,,,,,,,,,,$%,PASSED
T34T,,,,,,,,,,,,,,,$%,PASSED
T34S,,,,,,,,,,,,,,,$%,PASSED
T34L,,,,,,,,,,,,,,,$%,PASSED
T34C,,,,,,,,,,,,,,,$%,PASSED
T33R,,,,,,,,,,,,,,,$%,PASSED
