Name,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_Class14_Default,CI_Class15_Default,CI_ValueOptions,CI_TagName
ETTE,0x0D00000000000000000000000000000000000000,0x0D00000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_ETH_TERMINATOR
DDTI,60,60,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01",CI_DROP_DETECT_TIME_INTERVAL
PWRD,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00= Scanner Enabled. 
01= Scanner Disabled. 
",CI_DISABLE_WHEN_TYPE
DDTH,625,625,,,,,,,,,,,,,,,"[format=range]
min=1
max=5000
step=01",CI_DROP_DETECT_THRESHOLD
BBFT,0x02,0x02,,,,,,,,,,,,,,,"[format=selection]
0x00=0 second
0x01=1 second
0x02=2 seconds
0x03=3 seconds
0x04=4 seconds",CI_BASE_BUTTON_FILTER_TIME
ETDD,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
0x00= Disable
0x01= Add a counter
0x02= DAD enabled
0x03= DAD consistency Enabled ",CI_ETH_DAD_MODE_FLOW_CONTROL
ETLP,52000,52000,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFFFF
step=01
[PRG_ValueIncluded=false]",CI_ETH_LOGGER_PORT
ETAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_ETH_AIDA_LED_MODE
ULPE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
02=Disable with indication
03=Enable with indication",CI_ULTRA_LOW_POWER_ENABLE
SNLS,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_LENS_SHADING
SNHS,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Low
01=Medium
02=High",CI_HAND_CAP_SENSOR_SENSITIVITY
