Name,CI_Master_Default_Bologna,CI_Master_Default_Eugene,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_Class14_Default,CI_Class15_Default
ETTE,0x0D00000000000000000000000000000000000000,0x0D00000000000000000000000000000000000000,,,,,,,,,,,,,,
DDTI,60,60,,,,,,,,,,,,,,
PWRD,0x00,0x00,,,,,,,,,,,,,,
DDTH,625,625,,,,,,,,,,,,,,
BBFT,0x02,0x02,,,,,,,,,,,,,,
ETDD,0x00,0x00,,,,,,,,,,,,,,
ETLP,52000,52000,,,,,,,,,,,,,,
ETAI,0x00,0x00,,,,,,,,,,,,,,
ULPE,0x01,0x01,,,,,,,,,,,,,,
SNLS,0x01,0x01,,,,,,,,,,,,,,
SNHS,0x01,0x01,,,,,,,,,,,,,,
SNHD,0x00,0x00,,,,,,,,,,,,,,
SNBL,0x01,0x01,,,,,,,,,,,,,,
SNBL,,,,,,,,,,,,,,,,
SITF,0x47,0x47,,,,,,,,,,,,,,
RFTA,0x01,0x01,,,,,,,,,,,,,,
RFPP,0x00,0x00,,,,,,,,,,,,,,
RFEA,0x01,0x01,,,,,,,,,,,,,,
RFDA,0x00,0x00,,,,,,,,,,,,,,
RFCA,0x00,0x00,,,,,,,,,,,,,,
PWE2,0x00000000000000000000000000000000,0x00000000000000000000000000000000,,,,,,,,,,,,,,
PWE1,0,0,,,,,,,,,,,,,,
KF51,0x0000,0x0000,,,,,,,,,,,,,,
KF41,0x0000,0x0000,,,,,,,,,,,,,,
KF31,0x0000,0x0000,,,,,,,,,,,,,,
KF23,0x0000,0x0000,,,,,,,,,,,,,,
KF22,0x0000,0x0000,,,,,,,,,,,,,,
KF21,0x0000,0x0000,,,,,,,,,,,,,,
KF13,0x0000,0x0000,,,,,,,,,,,,,,
KF12,0x0000,0x0000,,,,,,,,,,,,,,
KF11,0x0000,0x0000,,,,,,,,,,,,,,
GSAL,0x00,0x00,,,,,,,,,,,,,,
FAMC,,,,,,,,,,,,,,,,
DTTW,0xC8,0xC8,,,,,,,,,,,,,,
DTTL,0x04,0x04,,,,,,,,,,,,,,
DTTH,0x50,0x50,,,,,,,,,,,,,,
DTLA,0x64,0x64,,,,,,,,,,,,,,
DLDE,1,1,,,,,,,,,,,,,,
BTWF,0x00000000000000000000,0x00000000000000000000,,,,,,,,,,,,,,
BTSL,0x01,0x01,,,,,,,,,,,,,,
BTSF,0x00,0x00,,,,,,,,,,,,,,
BTLD,0x00,0x00,,,,,,,,,,,,,,
BTDT,0x02,0x02,,,,,,,,,,,,,,
BTCR,0x00,0x00,,,,,,,,,,,,,,
BTAC,0x00,0x00,,,,,,,,,,,,,,
BSPD,0x00,0x00,,,,,,,,,,,,,,
BPCE,0x01,0x01,,,,,,,,,,,,,,
BLAR,0x01,0x01,,,,,,,,,,,,,,
BCHP,0x00,0x00,,,,,,,,,,,,,,
BALM,0x32,0x32,,,,,,,,,,,,,,
DLSF,,,,,,,,,,,,,,,,
DLFF,,,,,,,,,,,,,,,,
DLDF,,,,,,,,,,,,,,,,
DLFS,,,,,,,,,,,,,,,,
DLEN,,,,,,,,,,,,,,,,
T4SF,,,,,,,,,,,,,,,,
T4TO,,,,,,,,,,,,,,,,
T4A2,,,,,,,,,,,,,,,,
T4A1,,,,,,,,,,,,,,,,
T45R,,,,,,,,,,,,,,,,
T45T,,,,,,,,,,,,,,,,
T45S,,,,,,,,,,,,,,,,
T45L,,,,,,,,,,,,,,,,
T45C,,,,,,,,,,,,,,,,
T44R,,,,,,,,,,,,,,,,
T44T,,,,,,,,,,,,,,,,
T44S,,,,,,,,,,,,,,,,
T44L,,,,,,,,,,,,,,,,
T44C,,,,,,,,,,,,,,,,
T43R,,,,,,,,,,,,,,,,
T43T,,,,,,,,,,,,,,,,
T43S,,,,,,,,,,,,,,,,
T43L,,,,,,,,,,,,,,,,
T43C,,,,,,,,,,,,,,,,
T42R,,,,,,,,,,,,,,,,
T42T,,,,,,,,,,,,,,,,
T42S,,,,,,,,,,,,,,,,
T42L,,,,,,,,,,,,,,,,
T42C,,,,,,,,,,,,,,,,
T41R,,,,,,,,,,,,,,,,
T41T,,,,,,,,,,,,,,,,
T41S,,,,,,,,,,,,,,,,
T41L,,,,,,,,,,,,,,,,
T41C,,,,,,,,,,,,,,,,
T4RR,,,,,,,,,,,,,,,,
T4RF,,,,,,,,,,,,,,,,
T4RE,,,,,,,,,,,,,,,,
T4AN,,,,,,,,,,,,,,,,
T4AT,,,,,,,,,,,,,,,,
T4AC,,,,,,,,,,,,,,,,
T4AE,,,,,,,,,,,,,,,,
T4MP,,,,,,,,,,,,,,,,
T4MC,,,,,,,,,,,,,,,,
T4ML,,,,,,,,,,,,,,,,
T4MT,,,,,,,,,,,,,,,,
T4EN,,,,,,,,,,,,,,,,
T3SF,,,,,,,,,,,,,,,,
T3TO,,,,,,,,,,,,,,,,
T3A2,,,,,,,,,,,,,,,,
T3A1,,,,,,,,,,,,,,,,
T35R,,,,,,,,,,,,,,,,
T35T,,,,,,,,,,,,,,,,
T35S,,,,,,,,,,,,,,,,
T35L,,,,,,,,,,,,,,,,
T35C,,,,,,,,,,,,,,,,
T34R,,,,,,,,,,,,,,,,
T34T,,,,,,,,,,,,,,,,
T34S,,,,,,,,,,,,,,,,
T34L,,,,,,,,,,,,,,,,
T34C,,,,,,,,,,,,,,,,
T33R,,,,,,,,,,,,,,,,
T33T,,,,,,,,,,,,,,,,
T33S,,,,,,,,,,,,,,,,
T33L,,,,,,,,,,,,,,,,
T33C,,,,,,,,,,,,,,,,
T32R,,,,,,,,,,,,,,,,
T32T,,,,,,,,,,,,,,,,
T32S,,,,,,,,,,,,,,,,
T32L,,,,,,,,,,,,,,,,
T32C,,,,,,,,,,,,,,,,
T31R,,,,,,,,,,,,,,,,
T31T,,,,,,,,,,,,,,,,
T31S,,,,,,,,,,,,,,,,
T31L,,,,,,,,,,,,,,,,
T31C,,,,,,,,,,,,,,,,
T3RR,,,,,,,,,,,,,,,,
T3RF,,,,,,,,,,,,,,,,
T3RE,,,,,,,,,,,,,,,,
T3AN,,,,,,,,,,,,,,,,
T3AT,,,,,,,,,,,,,,,,
T3AC,,,,,,,,,,,,,,,,
T3AE,,,,,,,,,,,,,,,,
T3MP,,,,,,,,,,,,,,,,
T3MC,,,,,,,,,,,,,,,,
T3ML,,,,,,,,,,,,,,,,
T3MT,,,,,,,,,,,,,,,,
T3EN,,,,,,,,,,,,,,,,
T2SF,,,,,,,,,,,,,,,,
T2TO,,,,,,,,,,,,,,,,
T2A2,,,,,,,,,,,,,,,,
T2A1,,,,,,,,,,,,,,,,
T25R,,,,,,,,,,,,,,,,
T25T,,,,,,,,,,,,,,,,
T25S,,,,,,,,,,,,,,,,
T25L,,,,,,,,,,,,,,,,
T25C,,,,,,,,,,,,,,,,
T24R,,,,,,,,,,,,,,,,
T24T,,,,,,,,,,,,,,,,
T24S,,,,,,,,,,,,,,,,
T24L,,,,,,,,,,,,,,,,
T24C,,,,,,,,,,,,,,,,
T23R,,,,,,,,,,,,,,,,
T23T,,,,,,,,,,,,,,,,
T23S,,,,,,,,,,,,,,,,
T23L,,,,,,,,,,,,,,,,
T23C,,,,,,,,,,,,,,,,
T22R,,,,,,,,,,,,,,,,
T22T,,,,,,,,,,,,,,,,
T22S,,,,,,,,,,,,,,,,
T22L,,,,,,,,,,,,,,,,
T22C,,,,,,,,,,,,,,,,
T21R,,,,,,,,,,,,,,,,
T21T,,,,,,,,,,,,,,,,
T21S,,,,,,,,,,,,,,,,
T21L,,,,,,,,,,,,,,,,
T21C,,,,,,,,,,,,,,,,
T2RR,,,,,,,,,,,,,,,,
T2RF,,,,,,,,,,,,,,,,
T2RE,,,,,,,,,,,,,,,,
T2AN,,,,,,,,,,,,,,,,
T2AT,,,,,,,,,,,,,,,,
T2AC,,,,,,,,,,,,,,,,
T2AE,,,,,,,,,,,,,,,,
T2MP,,,,,,,,,,,,,,,,
T2MC,,,,,,,,,,,,,,,,
T2ML,,,,,,,,,,,,,,,,
T2MT,,,,,,,,,,,,,,,,
T2EN,,,,,,,,,,,,,,,,
T1SF,,,,,,,,,,,,,,,,
T1TO,,,,,,,,,,,,,,,,
T1A2,,,,,,,,,,,,,,,,
T1A1,,,,,,,,,,,,,,,,
T15R,,,,,,,,,,,,,,,,
T15T,,,,,,,,,,,,,,,,
T15S,,,,,,,,,,,,,,,,
T15L,,,,,,,,,,,,,,,,
T15C,,,,,,,,,,,,,,,,
T14R,,,,,,,,,,,,,,,,
T14T,,,,,,,,,,,,,,,,
T14S,,,,,,,,,,,,,,,,
T14L,,,,,,,,,,,,,,,,
T14C,,,,,,,,,,,,,,,,
T13R,,,,,,,,,,,,,,,,
T13T,,,,,,,,,,,,,,,,
T13S,,,,,,,,,,,,,,,,
T13L,,,,,,,,,,,,,,,,
T13C,,,,,,,,,,,,,,,,
T12R,,,,,,,,,,,,,,,,
T12T,,,,,,,,,,,,,,,,
T12S,,,,,,,,,,,,,,,,
T12L,,,,,,,,,,,,,,,,
T12C,,,,,,,,,,,,,,,,
T11R,,,,,,,,,,,,,,,,
T11T,,,,,,,,,,,,,,,,
T11S,,,,,,,,,,,,,,,,
T11L,,,,,,,,,,,,,,,,
T11C,,,,,,,,,,,,,,,,
T1RR,,,,,,,,,,,,,,,,
T1RF,,,,,,,,,,,,,,,,
T1RE,,,,,,,,,,,,,,,,
T1AN,,,,,,,,,,,,,,,,
T1AT,,,,,,,,,,,,,,,,
T1AC,,,,,,,,,,,,,,,,
T1AE,,,,,,,,,,,,,,,,
T1MP,,,,,,,,,,,,,,,,
T1MC,,,,,,,,,,,,,,,,
T1ML,,,,,,,,,,,,,,,,
T1MT,,,,,,,,,,,,,,,,
T1EN,,,,,,,,,,,,,,,,
CNTT,,,,,,,,,,,,,,,,
CNTO,,,,,,,,,,,,,,,,
CNRT,,,,,,,,,,,,,,,,
CNL2,,,,,,,,,,,,,,,,
CNT2,,,,,,,,,,,,,,,,
CNL1,,,,,,,,,,,,,,,,
CNT1,,,,,,,,,,,,,,,,
CNEN,,,,,,,,,,,,,,,,
AFNM,,,,,,,,,,,,,,,,
XCEM,0x00,0x00,,,,,,,,,,,,,,
UITA,0x00,0x00,,,,,,,,,,,,,,
UISM,0x00,0x00,,,,,,,,,,,,,,
VBPE,0x00,0x00,,,,,,,,,,,,,,
UCEM,0x00,0x00,,,,,,,,,,,,,,
TLLC,0x00,0x00,,,,,,,,,,,,,,
TLL2,0x0174,0x0174,,,,,,,,,,,,,,
TLL1,0x0007,0x0007,,,,,,,,,,,,,,
TLID,0x247600,0x247600,,,,,,,,,,,,,,
TLAI,0x00,0x00,,,,,,,,,,,,,,
TLEN,0x00,0x00,,,,,,,,,,,,,,
